DateTime,Entries,UniqueIPs
1493852437,7653,7653
1493856036,4994,4994
1493859636,5091,5091
1493863237,5261,5261
1493866837,5365,5365
1493870437,5443,5443
1493874037,5564,5564
1493877637,5702,5702
1493881236,5859,5859
1493884837,6017,6017
1493888437,6174,6174
1493892037,6310,6310
1493895637,6452,6452
1493899237,6603,6603
1493902836,6743,6743
1493906437,6943,6943
1493910037,7127,7127
1493913637,7251,7251
1493917237,7350,7350
1493920837,7444,7444
1493924437,7556,7556
1493928037,7668,7668
1493931637,7767,7767
1493935237,7861,7861
1493938837,7929,7929
1493942437,4395,4395
1493946037,4479,4479
1493949637,4559,4559
1493953237,4672,4672
1493956837,4757,4757
1493960437,4872,4872
1493964037,4967,4967
1493967637,5084,5084
1493971238,5220,5220
1493974837,5364,5364
1493978438,5485,5485
1493982037,5624,5624
1493985637,5765,5765
1493989238,5892,5892
1493992837,6021,6021
1493996438,6235,6235
1494000038,6345,6345
1494003637,6451,6451
1494007237,6557,6557
1494010838,6653,6653
1494014437,6738,6738
1494018037,6829,6829
1494021638,6908,6908
1494025237,7014,7014
1494028837,4021,4021
1494032438,4110,4110
1494036038,4214,4214
1494039638,4305,4305
1494043237,4379,4379
1494046838,4481,4481
1494050438,4600,4600
1494054038,4833,4833
1494057638,4972,4972
1494061237,5082,5082
1494064838,5246,5246
1494068437,5375,5375
1494072038,5498,5498
1494075637,5603,5603
1494079238,5719,5719
1494082838,5862,5862
1494086438,5967,5967
1494090038,6070,6070
1494093638,6170,6170
1494097237,6265,6265
1494100837,6342,6342
1494104438,6427,6427
1494108038,6564,6564
1494111638,6654,6654
1494115238,3963,3963
1494118838,4060,4060
1494122437,4159,4159
1494126038,4251,4251
1494129638,4365,4365
1494133238,4479,4479
1494136838,4557,4557
1494140438,4650,4650
1494144038,4719,4719
1494147638,4820,4820
1494151238,4937,4937
1494154838,5044,5044
1494158438,5250,5250
1494162038,5353,5353
1494165638,5453,5453
1494169238,5553,5553
1494172838,5647,5647
1494176438,5794,5794
1494180038,5872,5872
1494183638,5972,5972
1494187238,6047,6047
1494190838,6152,6152
1494194439,6277,6277
1494198038,6386,6386
1494201638,3862,3862
1494205238,3966,3966
1494208838,4080,4080
1494212438,4235,4235
1494216038,4330,4330
1494219638,4484,4484
1494223238,4618,4618
1494226839,4751,4751
1494230438,4878,4878
1494234038,5069,5069
1494237639,5280,5280
1494241238,5446,5446
1494244838,5564,5564
1494248438,5710,5710
1494253838,6040,6040
1494257438,6158,6158
1494261038,6282,6282
1494264639,6415,6415
1494268238,6525,6525
1494271838,6651,6651
1494275438,6747,6747
1494279038,6847,6847
1494282638,6951,6951
1494286238,7045,7045
1494289838,4535,4535
1494293438,4649,4649
1494297038,4764,4764
1494300638,4891,4891
1494304238,5024,5024
1494307839,5134,5134
1494311439,5277,5277
1494315039,5417,5417
1494318638,5578,5578
1494322238,5741,5741
1494325838,5890,5890
1494329438,6047,6047
1494333038,6255,6255
1494336638,6425,6425
1494340239,6577,6577
1494343839,6705,6705
1494347439,6823,6823
1494351039,6922,6922
1494354639,7012,7012
1494358239,7094,7094
1494361839,7171,7171
1494365438,7270,7270
1494369039,7370,7370
1494372639,7465,7465
1494376239,4467,4467
1494379838,4572,4572
1494383439,4669,4669
1494387039,4773,4773
1494392438,4932,4932
1494396039,5080,5080
1494399639,5313,5313
1494403239,5461,5461
1494406839,5592,5592
1494410439,5756,5756
1494414039,5914,5914
1494417639,6024,6024
1494421239,6148,6148
1494424839,6272,6272
1494428439,6372,6372
1494432039,6483,6483
1494435639,6588,6588
1494439239,6667,6667
1494442839,6873,6873
1494446439,7011,7011
1494450039,7118,7118
1494453639,7200,7200
1494457239,7280,7280
1494460839,4293,4293
1494466239,4426,4426
1494469839,4507,4507
1494473440,4608,4608
1494477039,4724,4724
1494480639,4856,4856
1494484239,4969,4969
1494487839,5198,5198
1494491439,5370,5370
1494495039,5535,5535
1494498639,5676,5676
1494502239,5818,5818
1494505839,5986,5986
1494509439,6277,6277
1494513040,6721,6721
1494516639,7080,7080
1494520239,7199,7199
1494523839,7305,7305
1494527439,7394,7394
1494531040,7513,7513
1494534639,7596,7596
1494538240,7692,7692
1494541839,7770,7770
1494545439,8015,8015
1494549039,5153,5153
1494552639,5236,5236
1494556240,5416,5416
1494559839,5692,5692
1494563439,5776,5776
1494567040,5883,5883
1494570639,6008,6008
1494574240,6191,6191
1494577840,6320,6320
1494581439,6452,6452
1494585040,6554,6554
1494588639,6683,6683
1494592240,6807,6807
1494595839,6944,6944
1494599440,7043,7043
1494603040,7134,7134
1494606639,7222,7222
1494610240,7329,7329
1494613839,7439,7439
1494617440,7528,7528
1494621039,7617,7617
1494624640,7700,7700
1494628240,7812,7812
1494631840,7903,7903
1494635440,4168,4168
1494639040,4277,4277
1494642640,4370,4370
1494648040,4530,4530
1494651640,4645,4645
1494655240,4781,4781
1494658840,4895,4895
1494662440,5042,5042
1494666040,5164,5164
1494669641,5297,5297
1494673240,5413,5413
1494676840,5547,5547
1494681340,5685,5685
1494684940,5774,5774
1494688540,5863,5863
1494692140,5953,5953
1494695740,6085,6085
1494699340,6184,6184
1494702940,6293,6293
1494706540,6385,6385
1494710140,6476,6476
1494713740,6551,6551
1494717341,6638,6638
1494720940,3846,3846
1494724540,3942,3942
1494728140,4052,4052
1494731740,4142,4142
1494735340,4219,4219
1494738940,4304,4304
1494742540,4400,4400
1494746140,4479,4479
1494749740,4578,4578
1494753340,4670,4670
1494756940,4765,4765
1494760540,4864,4864
1494764140,4978,4978
1494767740,5173,5173
1494771340,5244,5244
1494774940,5329,5329
1494778540,5422,5422
1494782140,5571,5571
1494785741,5653,5653
1494789341,5754,5754
1494792941,5837,5837
1494796541,5928,5928
1494800141,6002,6002
1494803740,6189,6189
1494807340,3593,3593
1494810941,3688,3688
1494814541,3773,3773
1494818141,3857,3857
1494821741,3949,3949
1494825340,4077,4077
1494828941,4206,4206
1494832541,4366,4366
1494836140,4533,4533
1494839741,4681,4681
1494843341,4814,4814
1494846941,4928,4928
1494850540,5071,5071
1494854141,5247,5247
1494857741,5380,5380
1494861341,5479,5479
1494864941,5590,5590
1494868541,5767,5767
1494872141,5883,5883
1494875741,5985,5985
1494879341,6085,6085
1494882941,6159,6159
1494886541,6251,6251
1494890141,6347,6347
1494893741,3941,3941
1494897341,4036,4036
1494900941,4125,4125
1494904541,4213,4213
1494908141,4328,4328
1494911741,4450,4450
1494915341,4594,4594
1494918941,4771,4771
1494922541,4926,4926
1494926141,5088,5088
1494929741,5224,5224
1494933341,5374,5374
1494936941,5517,5517
1494940541,5650,5650
1494944141,5764,5764
1494947740,5880,5880
1494951341,5979,5979
1494954941,6064,6064
1494958541,6162,6162
1494962141,6262,6262
